model_id,model,scene,dimension,inner_share,marginal_utility,utility_elasticity
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,C2,0.32325386520939053,0.31978968971666916,0.3232534790461444
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,C3,0.36295522974054084,0.4361845259856808,0.3629547030242712
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,C1,0.3340121353772159,0.31506056114725883,0.3340117545424224
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,C2,0.3352285259253091,0.3566614576384099,0.3352280948047268
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,C3,0.33075933869747504,0.33010144398939945,0.33075893968175946
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",dialogue,C1,0.2416766442915314,0.2412500228124237,0.24167638555581472
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",dialogue,C2,0.38332335570846826,0.3574175108975881,0.3833229723854959
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",dialogue,C3,0.09999999999999998,0.11188033714694283,0.09999988001062599
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",dialogue,C5,0.2750000000000004,0.29149985724925964,0.27499968737236374
gpt_5_6_sol_max,GPT-5.6 Sol (max),dialogue,C1,0.2416766442915314,0.23107903278169467,0.241676396391337
gpt_5_6_sol_max,GPT-5.6 Sol (max),dialogue,C2,0.38332335570846826,0.40392599517845124,0.3833229223790938
gpt_5_6_sol_max,GPT-5.6 Sol (max),dialogue,C3,0.09999999999999998,0.11061936015658445,0.09999988132821674
gpt_5_6_sol_max,GPT-5.6 Sol (max),dialogue,C5,0.2750000000000004,0.25633973631967244,0.2749997250002755
kimi_k3_max,Kimi K3 (max reasoning),dialogue,C1,0.2416766442915314,0.2154645171512279,0.2416763962625326
kimi_k3_max,Kimi K3 (max reasoning),dialogue,C2,0.38332335570846826,0.3916133652349992,0.38332290490815923
kimi_k3_max,Kimi K3 (max reasoning),dialogue,C3,0.09999999999999998,0.09846329153247711,0.09999988665534376
kimi_k3_max,Kimi K3 (max reasoning),dialogue,C5,0.2750000000000004,0.2969225283928102,0.27499965820173855
gemini_3_1_pro_high,Gemini-3.1-Pro (High),dialogue,C1,0.2416766442915314,0.21043919824308907,0.24167640133466983
gemini_3_1_pro_high,Gemini-3.1-Pro (High),dialogue,C2,0.38332335570846826,0.39663401939293846,0.3833228977854323
gemini_3_1_pro_high,Gemini-3.1-Pro (High),dialogue,C3,0.09999999999999998,0.12569590946075976,0.09999985488120117
gemini_3_1_pro_high,Gemini-3.1-Pro (High),dialogue,C5,0.2750000000000004,0.27250604955439,0.27499968538554115
qwen3_8_max,Qwen3.8-Max,dialogue,C1,0.2416766442915314,0.21296492288209554,0.24167639027187815
qwen3_8_max,Qwen3.8-Max,dialogue,C2,0.38332335570846826,0.4198945040988777,0.38332285486797824
qwen3_8_max,Qwen3.8-Max,dialogue,C3,0.09999999999999998,0.10310985108919497,0.09999987701294526
qwen3_8_max,Qwen3.8-Max,dialogue,C5,0.2750000000000004,0.26767234940101553,0.2749996807265893
claude_opus_4_8_max,Claude Opus 4.8 (max),dialogue,C1,0.2416766442915314,0.20260686605946285,0.24167640261512882
claude_opus_4_8_max,Claude Opus 4.8 (max),dialogue,C2,0.38332335570846826,0.3786627002467565,0.3833229040266424
claude_opus_4_8_max,Claude Opus 4.8 (max),dialogue,C3,0.09999999999999998,0.10450319746797843,0.09999987534501015
claude_opus_4_8_max,Claude Opus 4.8 (max),dialogue,C5,0.2750000000000004,0.3214273010308564,0.2749996165905172
gpt_5_5_xhigh,GPT-5.5 (xhigh),dialogue,C1,0.2416766442915314,0.2052667698799188,0.24167639910165906
gpt_5_5_xhigh,GPT-5.5 (xhigh),dialogue,C2,0.38332335570846826,0.388712570383397,0.38332289139373504
gpt_5_5_xhigh,GPT-5.5 (xhigh),dialogue,C3,0.09999999999999998,0.09798843703713371,0.09999988295342502
gpt_5_5_xhigh,GPT-5.5 (xhigh),dialogue,C5,0.2750000000000004,0.3136266160740519,0.27499962537496975
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,dialogue,C1,0.2416766442915314,0.17166743760162237,0.24167638191786223
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,dialogue,C2,0.38332335570846826,0.3391278545726612,0.3833228373910706
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,dialogue,C3,0.09999999999999998,0.06542854185505217,0.09999990000009998
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,dialogue,C5,0.2750000000000004,0.5140804455698238,0.2749992142879596
glm_5_2_max,GLM-5.2 (max),dialogue,C1,0.2416766442915314,0.17186217218544128,0.24167637912858655
glm_5_2_max,GLM-5.2 (max),dialogue,C2,0.38332335570846826,0.3261501781984021,0.3833228524974323
glm_5_2_max,GLM-5.2 (max),dialogue,C3,0.09999999999999998,0.07776966901090712,0.09999988001062599
glm_5_2_max,GLM-5.2 (max),dialogue,C5,0.2750000000000004,0.5092498053731671,0.2749992142879596
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,dialogue,C1,0.2416766442915314,0.17825014104064965,0.24167636873604947
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,dialogue,C2,0.38332335570846826,0.3188922010110647,0.38332286273553934
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,dialogue,C3,0.09999999999999998,0.07803666716115368,0.09999987936373401
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,dialogue,C5,0.2750000000000004,0.5082580144651427,0.2749992142879596
kimi_k3_max,Kimi K3 (max reasoning),coding,C1,0.35099120173089776,0.35348150446512966,0.35099084151406085
kimi_k3_max,Kimi K3 (max reasoning),coding,C4,0.6490087982691023,0.6465374017527836,0.6490081394124013
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",coding,C1,0.35623199913870474,0.3723018013471601,0.3562316177615888
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",coding,C4,0.6437680008612953,0.6284481597250628,0.6437673570939382
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,coding,C1,0.3559942204161746,0.37143275916329704,0.3559938339348493
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,coding,C4,0.6440057795838253,0.6292609558200799,0.644005124828416
gpt_5_6_sol_max,GPT-5.6 Sol (max),coding,C1,0.34658280953287407,0.33818508656227053,0.34658245402501725
gpt_5_6_sol_max,GPT-5.6 Sol (max),coding,C4,0.653417190467126,0.6620389698457546,0.653416494516699
gemini_3_1_pro_high,Gemini-3.1-Pro (High),coding,C1,0.34011573933084105,0.3166091370578685,0.3401153974134296
gemini_3_1_pro_high,Gemini-3.1-Pro (High),coding,C4,0.659884260669159,0.6852575084374005,0.6598835206353255
qwen3_8_max,Qwen3.8-Max,coding,C1,0.34618579049171105,0.3368311296090689,0.3461854266253775
qwen3_8_max,Qwen3.8-Max,coding,C4,0.653814209508289,0.6634479413269002,0.6538134928097753
claude_opus_4_8_max,Claude Opus 4.8 (max),coding,C1,0.3379871147170206,0.30972794579309204,0.33798677673024385
claude_opus_4_8_max,Claude Opus 4.8 (max),coding,C4,0.6620128852829794,0.6930254081398288,0.662012129027604
gpt_5_5_xhigh,GPT-5.5 (xhigh),coding,C1,0.3378755576938572,0.3093702893759895,0.33787521490663786
gpt_5_5_xhigh,GPT-5.5 (xhigh),coding,C4,0.6621244423061428,0.6934342347479536,0.662123673969941
glm_5_2_max,GLM-5.2 (max),coding,C1,0.34177007116843655,0.32203197096442815,0.34176969618491765
glm_5_2_max,GLM-5.2 (max),coding,C4,0.6582299288315635,0.6792635281952021,0.6582291378770897
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,coding,C1,0.339972556836901,0.31614287923493034,0.33997216920613926
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,coding,C4,0.6600274431630989,0.6857780576441372,0.6600266023133176
