rank,model_id,model,overall_score,effective_weight_coverage,number_of_available_dimensions,C1 Complex reasoning_score,C2 Knowledge and factual reliability_score,C3 Long context_score,C4 Code and software engineering_score,C5 Multimodal_score,bootstrap
8,claude_opus_4_8_max,Claude Opus 4.8 (max),28.775033274759238,1.0,5,100.0,45.609972782355385,40.818908559372474,46.86857362940297,0.0,6
9,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,24.84205165584994,0.6326591489299637,4,0.0,16.61647141654705,49.61894570159547,0.0,,6
10,glm_5_2_max,GLM-5.2 (max),24.82832131887351,0.6326591489299637,4,48.73267800755814,9.803510167641388,51.06282352003342,22.84441525998165,,6
1,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",74.55788855483658,1.0,5,22.218462497283596,100.0,51.06282352003342,100.0,61.41143677202628,7
2,gpt_5_6_sol_max,GPT-5.6 Sol (max),73.16245298130568,1.0,5,52.454542576503336,59.35824195831793,54.027946711038894,74.26301338269981,100.0,7
3,kimi_k3_max,Kimi K3 (max reasoning),49.686132620378714,1.0,5,56.88096135414529,46.25746211394311,66.36155480567838,96.45796666629265,34.56856016386749,7
4,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,42.75522376782884,0.6512495857388994,4,46.58312730111529,0.0,100.0,95.17404518181435,,7
5,gemini_3_1_pro_high,Gemini-3.1-Pro (High),40.494802563795844,1.0,5,82.04152822278502,41.061524078229155,0.0,53.98195996821003,59.50518071798478,7
6,qwen3_8_max,Qwen3.8-Max,37.96078971521163,1.0,5,52.45454257650332,11.368579925920463,44.43634483658853,69.10644319101345,55.081950858103056,7
7,gpt_5_5_xhigh,GPT-5.5 (xhigh),31.81183371912344,1.0,5,83.44605961838148,36.467209580040624,57.73101758009519,38.79218925089935,6.974308690462572,7
8,claude_opus_4_8_max,Claude Opus 4.8 (max),29.974210916316288,1.0,5,100.0,45.609972782355385,40.818908559372474,47.535042781769675,0.0,7
9,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,25.32445565630631,0.6512495857388994,4,3.436323964647862,16.61647141654705,49.61894570159547,0.0,,7
10,glm_5_2_max,GLM-5.2 (max),24.260464370936642,0.6512495857388994,4,0.0,9.803510167641388,51.06282352003342,25.084148828440966,,7
1,gpt_5_6_sol_max,GPT-5.6 Sol (max),75.54180073409563,1.0,5,87.1902073198188,59.35824195831793,54.027946711038894,69.939570828904,100.0,8
2,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",74.67213044570347,1.0,5,42.39347028389106,100.0,51.06282352003342,100.0,61.41143677202628,8
3,kimi_k3_max,Kimi K3 (max reasoning),48.540369438314706,1.0,5,82.5554178922959,46.25746211394311,66.36155480567838,87.93698285293655,34.56856016386749,8
4,gemini_3_1_pro_high,Gemini-3.1-Pro (High),42.109676519185896,1.0,5,96.40838724814249,41.061524078229155,0.0,49.519592153753614,59.50518071798478,8
5,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,40.294061702761596,0.6044312644166477,4,13.030978058232323,0.0,100.0,88.9662972515519,,8
6,qwen3_8_max,Qwen3.8-Max,38.062066389928106,1.0,5,49.74478433213833,11.368579925920463,44.43634483658853,53.734415592489036,55.081950858103056,8
7,gpt_5_5_xhigh,GPT-5.5 (xhigh),29.49671443045679,1.0,5,83.73706237950893,36.467209580040624,57.73101758009519,35.882803879278114,6.974308690462572,8
8,claude_opus_4_8_max,Claude Opus 4.8 (max),27.270201470428894,1.0,5,100.0,45.609972782355385,40.818908559372474,41.02546922665167,0.0,8
9,glm_5_2_max,GLM-5.2 (max),24.84612719369485,0.6044312644166477,4,51.56549417866805,9.803510167641388,51.06282352003342,21.44919079024546,,8
10,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,24.667978254962307,0.6044312644166477,4,0.0,16.61647141654705,49.61894570159547,0.0,,8
1,gpt_5_6_sol_max,GPT-5.6 Sol (max),75.06156379184472,0.9999999999999999,5,87.26783635932216,59.35824195831793,54.027946711038894,79.49202476677844,100.0,9
2,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",74.96099787145597,0.9999999999999999,5,43.798369717297945,100.0,51.06282352003342,100.0,61.41143677202628,9
3,kimi_k3_max,Kimi K3 (max reasoning),49.56098469176418,0.9999999999999999,5,95.39231129230689,46.25746211394311,66.36155480567838,95.01071676167703,34.56856016386749,9
4,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,41.48078545000974,0.6269465420188746,4,22.80543659888766,0.0,100.0,93.98538909156426,,9
5,gemini_3_1_pro_high,Gemini-3.1-Pro (High),41.41765679183083,0.9999999999999999,5,96.23647803062802,41.061524078229155,0.0,56.207556150879384,59.50518071798478,9
6,qwen3_8_max,Qwen3.8-Max,37.631732014048715,0.9999999999999999,5,54.18780744045173,11.368579925920463,44.43634483658853,56.49263677088123,55.081950858103056,9
7,gpt_5_5_xhigh,GPT-5.5 (xhigh),30.93015725773219,0.9999999999999999,5,95.0358778925307,36.467209580040624,57.73101758009519,42.15386523856392,6.974308690462572,9
8,claude_opus_4_8_max,Claude Opus 4.8 (max),28.696384917724487,0.9999999999999999,5,100.0,45.609972782355385,40.818908559372474,50.03545197753636,0.0,9
9,glm_5_2_max,GLM-5.2 (max),25.473050566603305,0.6269465420188746,4,48.73267800755815,9.803510167641388,51.06282352003342,26.135153021497185,,9
10,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,25.20698740454441,0.6269465420188746,4,0.0,16.61647141654705,49.61894570159547,0.0,,9
1,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",74.58406779560454,1.0,5,22.218462497283596,100.0,51.06282352003342,100.0,61.41143677202628,10
2,gpt_5_6_sol_max,GPT-5.6 Sol (max),73.14463979502213,1.0,5,52.454542576503336,59.35824195831793,54.027946711038894,73.95492598314146,100.0,10
3,kimi_k3_max,Kimi K3 (max reasoning),49.56957625670533,1.0,5,56.88096135414529,46.25746211394311,66.36155480567838,93.7799430615481,34.56856016386749,10
4,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,42.64819410511631,0.6516084404307572,4,46.58312730111529,0.0,100.0,93.16282004904058,,10
5,gemini_3_1_pro_high,Gemini-3.1-Pro (High),40.42721312051559,1.0,5,82.04152822278502,41.061524078229155,0.0,52.65716561941288,59.50518071798478,10
6,qwen3_8_max,Qwen3.8-Max,37.56033603905828,1.0,5,52.45454257650332,11.368579925920463,44.43634483658853,62.07324846829871,55.081950858103056,10
7,gpt_5_5_xhigh,GPT-5.5 (xhigh),31.80451960539859,1.0,5,83.44605961838148,36.467209580040624,57.73101758009519,38.556448718905344,6.974308690462572,10
8,claude_opus_4_8_max,Claude Opus 4.8 (max),29.8383668058762,1.0,5,100.0,45.609972782355385,40.818908559372474,45.03215040211417,0.0,10
9,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,25.284465112071345,0.6516084404307572,4,3.436323964647862,16.61647141654705,49.61894570159547,0.0,,10
10,glm_5_2_max,GLM-5.2 (max),24.172456188270832,0.6516084404307572,4,0.0,9.803510167641388,51.06282352003342,24.137811030338963,,10
1,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",75.14586881475745,1.0,5,0.0,100.0,51.06282352003342,100.0,61.41143677202628,11
2,gpt_5_6_sol_max,GPT-5.6 Sol (max),72.46359610593417,1.0,5,45.76385726283793,59.35824195831793,54.027946711038894,72.80656634634511,100.0,11
3,kimi_k3_max,Kimi K3 (max reasoning),49.291638128305415,1.0,5,58.86583691988991,46.25746211394311,66.36155480567838,91.14688177644632,34.56856016386749,11
4,gemini_3_1_pro_high,Gemini-3.1-Pro (High),40.2496513278215,1.0,5,72.5482200339618,41.061524078229155,0.0,52.641364334810234,59.50518071798478,11
5,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,39.39175224496043,0.6638656603517167,4,26.072236912496564,0.0,100.0,91.47641429197027,,11
6,qwen3_8_max,Qwen3.8-Max,35.83128226740168,1.0,5,31.906058233665675,11.368579925920463,44.43634483658853,56.67145735325524,55.081950858103056,11
7,gpt_5_5_xhigh,GPT-5.5 (xhigh),31.865684155204086,1.0,5,82.4636880013394,36.467209580040624,57.73101758009519,38.1386243107785,6.974308690462572,11
8,claude_opus_4_8_max,Claude Opus 4.8 (max),30.340880433387788,1.0,5,100.0,45.609972782355385,40.818908559372474,44.90832643687163,0.0,11
9,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,25.24899742975733,0.6638656603517167,4,17.958609538831816,16.61647141654705,49.61894570159547,0.0,,11
10,glm_5_2_max,GLM-5.2 (max),24.047026619488502,0.6638656603517167,4,23.90939564064336,9.803510167641388,51.06282352003342,23.772230605436025,,11
1,gpt_5_6_sol_max,GPT-5.6 Sol (max),75.13317393480489,1.0,5,80.61841813896953,59.35824195831793,54.027946711038894,73.09070517088361,100.0,12
2,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",74.57184860334002,1.0,5,48.008362427373925,100.0,51.06282352003342,100.0,61.41143677202628,12
3,kimi_k3_max,Kimi K3 (max reasoning),49.00618275095087,1.0,5,80.22246611688637,46.25746211394311,66.36155480567838,93.75401033266789,34.56856016386749,12
4,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,42.44548222467004,0.6126013748958241,4,37.365299588477896,0.0,100.0,93.4303954613684,,12
5,gemini_3_1_pro_high,Gemini-3.1-Pro (High),41.49688620170712,1.0,5,95.97204269870555,41.061524078229155,0.0,53.94527509249193,59.50518071798478,12
6,qwen3_8_max,Qwen3.8-Max,38.672526742619624,1.0,5,62.030463835309725,11.368579925920463,44.43634483658853,63.563876789742885,55.081950858103056,12
7,gpt_5_5_xhigh,GPT-5.5 (xhigh),30.108853243900885,1.0,5,88.99815616050248,36.467209580040624,57.73101758009519,38.36563705773131,6.974308690462572,12
8,claude_opus_4_8_max,Claude Opus 4.8 (max),27.81773050699994,1.0,5,100.0,45.609972782355385,40.818908559372474,47.38150689179616,0.0,12
9,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,25.41932787708865,0.6126013748958241,4,0.0,16.61647141654705,49.61894570159547,0.0,,12
10,glm_5_2_max,GLM-5.2 (max),25.127698667840704,0.6126013748958241,4,29.304570389924805,9.803510167641388,51.06282352003342,24.704158473760884,,12
1,gpt_5_6_sol_max,GPT-5.6 Sol (max),75.61733489979521,1.0,5,87.1902073198188,59.35824195831793,54.027946711038894,72.53581959409695,100.0,13
2,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",74.55253364696065,1.0,5,42.39347028389106,100.0,51.06282352003342,100.0,61.41143677202628,13
3,kimi_k3_max,Kimi K3 (max reasoning),48.66653111697968,1.0,5,82.5554178922959,46.25746211394311,66.36155480567838,88.61693438440113,34.56856016386749,13
4,gemini_3_1_pro_high,Gemini-3.1-Pro (High),42.078494836686374,1.0,5,96.40838724814247,41.061524078229155,0.0,51.37892759351169,59.50518071798478,13
5,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,40.71310155876223,0.6062612806795085,4,13.030978058232323,0.0,100.0,89.58978414040304,,13
6,qwen3_8_max,Qwen3.8-Max,37.85693612950776,1.0,5,49.74478433213833,11.368579925920463,44.43634483658853,49.94340211473574,55.081950858103056,13
7,gpt_5_5_xhigh,GPT-5.5 (xhigh),29.769355506437446,1.0,5,83.73706237950893,36.467209580040624,57.73101758009519,37.918085140552016,6.974308690462572,13
8,claude_opus_4_8_max,Claude Opus 4.8 (max),27.45812820698759,1.0,5,100.0,45.609972782355385,40.818908559372474,42.500071546822774,0.0,13
9,glm_5_2_max,GLM-5.2 (max),25.192277936457288,0.6062612806795085,4,51.56549417866805,9.803510167641388,51.06282352003342,22.863977339492468,,13
10,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,24.822647566069698,0.6062612806795085,4,0.0,16.61647141654705,49.61894570159547,0.0,,13
1,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",74.65480079085317,1.0,5,24.991591944545345,100.0,51.06282352003342,100.0,61.41143677202628,14
2,gpt_5_6_sol_max,GPT-5.6 Sol (max),73.28532810479723,1.0,5,57.63807644272746,59.35824195831793,54.027946711038894,75.53660772825323,100.0,14
3,kimi_k3_max,Kimi K3 (max reasoning),49.82710032989681,1.0,5,72.77531930238418,46.25746211394311,66.36155480567838,94.56308439451453,34.56856016386749,14
4,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,42.4728093863388,0.6520222143083898,4,48.04344824341499,0.0,100.0,94.4686886700915,,14
5,gemini_3_1_pro_high,Gemini-3.1-Pro (High),40.56804272700059,1.0,5,84.06775118001102,41.061524078229155,0.0,56.03864067888049,59.50518071798478,14
6,qwen3_8_max,Qwen3.8-Max,37.18321271832902,1.0,5,54.804346226927535,11.368579925920463,44.43634483658853,57.471215793922056,55.081950858103056,14
7,gpt_5_5_xhigh,GPT-5.5 (xhigh),32.16717964358094,1.0,5,93.97784695886787,36.467209580040624,57.73101758009519,40.98585312782467,6.974308690462572,14
8,claude_opus_4_8_max,Claude Opus 4.8 (max),29.934396268723322,1.0,5,100.0,45.609972782355385,40.818908559372474,46.88200722279842,0.0,14
9,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,25.298788908827753,0.6520222143083898,4,0.0,16.61647141654705,49.61894570159547,0.0,,14
10,glm_5_2_max,GLM-5.2 (max),24.554835161646196,0.6520222143083898,4,4.21135678854233,9.803510167641388,51.06282352003342,26.979800073914227,,14
1,gpt_5_6_sol_max,GPT-5.6 Sol (max),76.78956047213016,0.9999999999999998,5,98.33177317486309,59.35824195831793,54.027946711038894,73.1781317132502,100.0,15
2,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",73.36494485843073,0.9999999999999998,5,67.37515586661571,100.0,51.06282352003342,100.0,61.41143677202628,15
3,kimi_k3_max,Kimi K3 (max reasoning),48.60242738609255,0.9999999999999998,5,93.9481966649878,46.25746211394311,66.36155480567838,92.98890352967527,34.56856016386749,15
4,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,44.80371274099254,0.5754683944394614,4,28.59965358918516,0.0,100.0,91.54529877648916,,15
5,gemini_3_1_pro_high,Gemini-3.1-Pro (High),41.68900221876826,0.9999999999999998,5,100.0,41.061524078229155,0.0,47.833143616228824,59.50518071798478,15
6,qwen3_8_max,Qwen3.8-Max,40.348078987875816,0.9999999999999998,5,66.19377816596521,11.368579925920463,44.43634483658853,65.31818697131733,55.081950858103056,15
7,gpt_5_5_xhigh,GPT-5.5 (xhigh),28.808330311733208,0.9999999999999998,5,86.6774834658978,36.467209580040624,57.73101758009519,36.20736323119611,6.974308690462572,15
8,glm_5_2_max,GLM-5.2 (max),26.23974965002486,0.5754683944394614,4,53.743201628177246,9.803510167641388,51.06282352003342,20.590518264064745,,15
9,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,26.181923098099283,0.5754683944394614,4,0.0,16.61647141654705,49.61894570159547,0.0,,15
10,claude_opus_4_8_max,Claude Opus 4.8 (max),25.535872910435103,0.9999999999999998,5,91.55486779735703,45.609972782355385,40.818908559372474,40.70916402715495,0.0,15
1,gpt_5_6_sol_max,GPT-5.6 Sol (max),75.29784502639704,0.9999999999999999,5,87.8423256988453,59.35824195831793,54.027946711038894,75.53660772825322,100.0,16
2,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",74.81610640415137,0.9999999999999999,5,72.72686425047256,100.0,51.06282352003342,100.0,61.41143677202628,16
3,kimi_k3_max,Kimi K3 (max reasoning),49.066963663679154,0.9999999999999999,5,89.74892025789035,46.25746211394311,66.36155480567838,94.56308439451452,34.56856016386749,16
4,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,42.96180832049288,0.6127150720192136,4,63.05817656327984,0.0,100.0,94.4686886700915,,16
5,gemini_3_1_pro_high,Gemini-3.1-Pro (High),41.511200079107155,0.9999999999999999,5,99.99999999999999,41.061524078229155,0.0,56.0386406788805,59.50518071798478,16
6,qwen3_8_max,Qwen3.8-Max,38.49190386055116,0.9999999999999999,5,82.887372051801,11.368579925920463,44.43634483658853,57.471215793922056,55.081950858103056,16
7,gpt_5_5_xhigh,GPT-5.5 (xhigh),30.351823017204033,0.9999999999999999,5,95.07655465134324,36.467209580040624,57.73101758009519,40.98585312782468,6.974308690462572,16
8,claude_opus_4_8_max,Claude Opus 4.8 (max),27.67150230170387,0.9999999999999999,5,93.77233423936504,45.609972782355385,40.818908559372474,46.88200722279843,0.0,16
9,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,25.62501688583035,0.6127150720192136,4,0.0,16.61647141654705,49.61894570159547,0.0,,16
10,glm_5_2_max,GLM-5.2 (max),25.213067216016064,0.6127150720192136,4,20.743276794339632,9.803510167641388,51.06282352003342,26.979800073914245,,16
1,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",75.19302286106665,1.0,5,48.21976786145805,100.0,51.06282352003342,100.0,61.41143677202628,17
2,gpt_5_6_sol_max,GPT-5.6 Sol (max),73.73900716136447,1.0,5,81.83672025607646,59.35824195831793,54.027946711038894,71.14191786557623,100.0,17
3,kimi_k3_max,Kimi K3 (max reasoning),49.84749814063501,1.0,5,92.44484656644542,46.25746211394311,66.36155480567838,90.27773898818198,34.56856016386749,17
4,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,42.959552347306854,0.6443847639015637,4,41.8714658498369,0.0,100.0,90.09310589190089,,17
5,gemini_3_1_pro_high,Gemini-3.1-Pro (High),40.13127173824825,1.0,5,95.89418990838537,41.061524078229155,0.0,49.140155213749296,59.50518071798478,17
6,qwen3_8_max,Qwen3.8-Max,37.88387314462433,1.0,5,63.855775650729996,11.368579925920463,44.43634483658853,61.28513705476633,55.081950858103056,17
7,gpt_5_5_xhigh,GPT-5.5 (xhigh),31.256014083829385,1.0,5,98.47830413254958,36.467209580040624,57.73101758009519,35.60745239440579,6.974308690462572,17
8,claude_opus_4_8_max,Claude Opus 4.8 (max),28.911436216162144,1.0,5,100.0,45.609972782355385,40.818908559372474,42.98072709371002,0.0,17
9,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,25.491307396935255,0.6443847639015637,4,0.0,16.61647141654705,49.61894570159547,0.0,,17
10,glm_5_2_max,GLM-5.2 (max),24.957552772987956,0.6443847639015637,4,30.71710960133161,9.803510167641388,51.06282352003342,20.81345773360956,,17
1,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",74.3541959373284,1.0,5,10.237166146752989,100.0,51.06282352003342,100.0,61.41143677202628,18
2,gpt_5_6_sol_max,GPT-5.6 Sol (max),73.45693925999257,1.0,5,54.46739508884475,59.35824195831793,54.027946711038894,73.95492598314148,100.0,18
