model_id,model,scene,prior,alpha,rho,utility,kl_divergence,rank,top1,top3
glm_5_2_max,GLM-5.2 (max),research,q1,0.6,-0.55,0.8249989343971076,0.004493594103766423,9,False,False
kimi_k3_max,Kimi K3 (max reasoning),research,q1,0.6,-0.5,0.8954055370323737,0.004493594103766423,3,False,True
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,q1,0.6,-0.5,0.8975966908443783,0.004493594103766423,2,False,True
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,q1,0.6,-0.5,0.8791059300296361,0.004493594103766423,4,False,False
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,q1,0.6,-0.5,0.9269071611584089,0.004493594103766423,1,True,True
claude_opus_4_8_max,Claude Opus 4.8 (max),research,q1,0.6,-0.5,0.8759143663099025,0.004493594103766423,5,False,False
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,q1,0.6,-0.5,0.8291100519453574,0.004493594103766423,8,False,False
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,q1,0.6,-0.5,0.8605998407371191,0.004493594103766423,6,False,False
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,q1,0.6,-0.5,0.8215335851257977,0.004493594103766423,10,False,False
qwen3_8_max,Qwen3.8-Max,research,q1,0.6,-0.5,0.8309596903291125,0.004493594103766423,7,False,False
glm_5_2_max,GLM-5.2 (max),research,q1,0.6,-0.5,0.8251139806610861,0.004493594103766423,9,False,False
kimi_k3_max,Kimi K3 (max reasoning),research,q1,0.6,-0.44999999999999996,0.8954788963406205,0.004493594103766423,3,False,True
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,q1,0.6,-0.44999999999999996,0.8976710951446537,0.004493594103766423,2,False,True
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,q1,0.6,-0.44999999999999996,0.8792315023895881,0.004493594103766423,4,False,False
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,q1,0.6,-0.44999999999999996,0.9270394807390575,0.004493594103766423,1,True,True
claude_opus_4_8_max,Claude Opus 4.8 (max),research,q1,0.6,-0.44999999999999996,0.8760871126098561,0.004493594103766423,5,False,False
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,q1,0.6,-0.44999999999999996,0.8295307675083109,0.004493594103766423,8,False,False
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,q1,0.6,-0.44999999999999996,0.8609732858262517,0.004493594103766423,6,False,False
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,q1,0.6,-0.44999999999999996,0.8215856546151589,0.004493594103766423,10,False,False
qwen3_8_max,Qwen3.8-Max,research,q1,0.6,-0.44999999999999996,0.8311317966032171,0.004493594103766423,7,False,False
glm_5_2_max,GLM-5.2 (max),research,q1,0.6,-0.44999999999999996,0.8252291060828183,0.004493594103766423,9,False,False
kimi_k3_max,Kimi K3 (max reasoning),research,q1,0.6,-0.39999999999999997,0.8955523550987154,0.004493594103766423,3,False,True
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,q1,0.6,-0.39999999999999997,0.8977455755669539,0.004493594103766423,2,False,True
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,q1,0.6,-0.39999999999999997,0.8793573425058072,0.004493594103766423,4,False,False
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,q1,0.6,-0.39999999999999997,0.9271716742733589,0.004493594103766423,1,True,True
claude_opus_4_8_max,Claude Opus 4.8 (max),research,q1,0.6,-0.39999999999999997,0.8762602417801985,0.004493594103766423,5,False,False
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,q1,0.6,-0.39999999999999997,0.8299516010971651,0.004493594103766423,8,False,False
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,q1,0.6,-0.39999999999999997,0.8613466438150833,0.004493594103766423,6,False,False
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,q1,0.6,-0.39999999999999997,0.8216377395600609,0.004493594103766423,10,False,False
qwen3_8_max,Qwen3.8-Max,research,q1,0.6,-0.39999999999999997,0.8313042923463956,0.004493594103766423,7,False,False
glm_5_2_max,GLM-5.2 (max),research,q1,0.6,-0.39999999999999997,0.8253443094698553,0.004493594103766423,9,False,False
kimi_k3_max,Kimi K3 (max reasoning),research,q1,0.6,-0.35,0.8956259129402991,0.004493594103766423,3,False,True
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,q1,0.6,-0.35,0.8978201317313376,0.004493594103766423,2,False,True
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,q1,0.6,-0.35,0.8794834493889855,0.004493594103766423,4,False,False
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,q1,0.6,-0.35,0.9273037403574403,0.004493594103766423,1,True,True
claude_opus_4_8_max,Claude Opus 4.8 (max),research,q1,0.6,-0.35,0.8764337519461854,0.004493594103766423,5,False,False
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,q1,0.6,-0.35,0.8303725383007867,0.004493594103766423,8,False,False
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,q1,0.6,-0.35,0.8617199000178434,0.004493594103766423,6,False,False
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,q1,0.6,-0.35,0.8216898397046469,0.004493594103766423,10,False,False
qwen3_8_max,Qwen3.8-Max,research,q1,0.6,-0.35,0.8314771755292067,0.004493594103766423,7,False,False
glm_5_2_max,GLM-5.2 (max),research,q1,0.6,-0.35,0.8254595896255517,0.004493594103766423,9,False,False
kimi_k3_max,Kimi K3 (max reasoning),research,q1,0.6,-0.29999999999999993,0.895699569495623,0.004493594103766423,3,False,True
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,q1,0.6,-0.29999999999999993,0.8978947632552496,0.004493594103766423,2,False,True
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,q1,0.6,-0.29999999999999993,0.8796098220340933,0.004493594103766423,4,False,False
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,q1,0.6,-0.29999999999999993,0.9274356775956272,0.004493594103766423,1,True,True
claude_opus_4_8_max,Claude Opus 4.8 (max),research,q1,0.6,-0.29999999999999993,0.8766076412024181,0.004493594103766423,5,False,False
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,q1,0.6,-0.29999999999999993,0.8307935647038455,0.004493594103766423,8,False,False
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,q1,0.6,-0.29999999999999993,0.8620930397791512,0.004493594103766423,6,False,False
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,q1,0.6,-0.29999999999999993,0.8217419547927,0.004493594103766423,10,False,False
qwen3_8_max,Qwen3.8-Max,research,q1,0.6,-0.29999999999999993,0.8316504440895879,0.004493594103766423,7,False,False
glm_5_2_max,GLM-5.2 (max),research,q1,0.6,-0.29999999999999993,0.8255749453491317,0.004493594103766423,9,False,False
kimi_k3_max,Kimi K3 (max reasoning),research,q1,0.6,-0.2499999999999999,0.8957733243915568,0.004493594103766423,3,False,True
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,q1,0.6,-0.2499999999999999,0.897969469753525,0.004493594103766423,2,False,True
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,q1,0.6,-0.2499999999999999,0.8797364594203726,0.004493594103766423,4,False,False
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,q1,0.6,-0.2499999999999999,0.9275674846005167,0.004493594103766423,1,True,True
claude_opus_4_8_max,Claude Opus 4.8 (max),research,q1,0.6,-0.2499999999999999,0.87678190761286,0.004493594103766423,5,False,False
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,q1,0.6,-0.2499999999999999,0.8312146658897175,0.004493594103766423,8,False,False
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,q1,0.6,-0.2499999999999999,0.8624660484772063,0.004493594103766423,6,False,False
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,q1,0.6,-0.2499999999999999,0.8217940845676518,0.004493594103766423,10,False,False
qwen3_8_max,Qwen3.8-Max,research,q1,0.6,-0.2499999999999999,0.8318240959328784,0.004493594103766423,7,False,False
glm_5_2_max,GLM-5.2 (max),research,q1,0.6,-0.2499999999999999,0.8256903754357604,0.004493594103766423,9,False,False
kimi_k3_max,Kimi K3 (max reasoning),research,q1,0.6,-0.2,0.8958471772515892,0.004493594103766423,3,False,True
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,q1,0.6,-0.2,0.8980442508384002,0.004493594103766423,2,False,True
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,q1,0.6,-0.2,0.8798633605113347,0.004493594103766423,4,False,False
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,q1,0.6,-0.2,0.927699159993046,0.004493594103766423,1,True,True
claude_opus_4_8_max,Claude Opus 4.8 (max),research,q1,0.6,-0.2,0.8769565492108634,0.004493594103766423,5,False,False
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,q1,0.6,-0.2,0.8316358274433817,0.004493594103766423,8,False,False
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,q1,0.6,-0.2,0.8628389115269528,0.004493594103766423,6,False,False
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,q1,0.6,-0.2,0.8218462287725897,0.004493594103766423,10,False,False
qwen3_8_max,Qwen3.8-Max,research,q1,0.6,-0.2,0.8319981289318676,0.004493594103766423,7,False,False
glm_5_2_max,GLM-5.2 (max),research,q1,0.6,-0.2,0.8258058786766119,0.004493594103766423,9,False,False
kimi_k3_max,Kimi K3 (max reasoning),research,q1,0.61875,-0.8,0.8964306710844931,0.0088378227723089,3,False,True
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,q1,0.61875,-0.8,0.8975492845273365,0.0088378227723089,2,False,True
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,q1,0.61875,-0.8,0.8801055367255356,0.0088378227723089,4,False,False
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,q1,0.61875,-0.8,0.9239604407163171,0.0088378227723089,1,True,True
claude_opus_4_8_max,Claude Opus 4.8 (max),research,q1,0.61875,-0.8,0.8757291476704274,0.0088378227723089,5,False,False
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,q1,0.61875,-0.8,0.8262646846699584,0.0088378227723089,9,False,False
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,q1,0.61875,-0.8,0.8626210654649167,0.0088378227723089,6,False,False
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,q1,0.61875,-0.8,0.8226563707630331,0.0088378227723089,10,False,False
qwen3_8_max,Qwen3.8-Max,research,q1,0.61875,-0.8,0.8321108342464624,0.0088378227723089,7,False,False
glm_5_2_max,GLM-5.2 (max),research,q1,0.61875,-0.8,0.8265324520026589,0.0088378227723089,8,False,False
kimi_k3_max,Kimi K3 (max reasoning),research,q1,0.61875,-0.75,0.8965039688226026,0.0088378227723089,3,False,True
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,q1,0.61875,-0.75,0.8976254494949668,0.0088378227723089,2,False,True
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,q1,0.61875,-0.75,0.8802309823362844,0.0088378227723089,4,False,False
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,q1,0.61875,-0.75,0.9240928806738157,0.0088378227723089,1,True,True
claude_opus_4_8_max,Claude Opus 4.8 (max),research,q1,0.61875,-0.75,0.875904516991874,0.0088378227723089,5,False,False
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,q1,0.61875,-0.75,0.826697109124661,0.0088378227723089,8,False,False
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,q1,0.61875,-0.75,0.8629929982904336,0.0088378227723089,6,False,False
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,q1,0.61875,-0.75,0.8227080929854026,0.0088378227723089,10,False,False
qwen3_8_max,Qwen3.8-Max,research,q1,0.61875,-0.75,0.8322820704968265,0.0088378227723089,7,False,False
glm_5_2_max,GLM-5.2 (max),research,q1,0.61875,-0.75,0.8266468479557781,0.0088378227723089,9,False,False
kimi_k3_max,Kimi K3 (max reasoning),research,q1,0.61875,-0.7000000000000001,0.89657736264644,0.0088378227723089,3,False,True
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,q1,0.61875,-0.7000000000000001,0.897701692298485,0.0088378227723089,2,False,True
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,q1,0.61875,-0.7000000000000001,0.8803566911667543,0.0088378227723089,4,False,False
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,q1,0.61875,-0.7000000000000001,0.9242252193081025,0.0088378227723089,1,True,True
claude_opus_4_8_max,Claude Opus 4.8 (max),research,q1,0.61875,-0.7000000000000001,0.8760802778837548,0.0088378227723089,5,False,False
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,q1,0.61875,-0.7000000000000001,0.8271297720500663,0.0088378227723089,8,False,False
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,q1,0.61875,-0.7000000000000001,0.8633648147920723,0.0088378227723089,6,False,False
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,q1,0.61875,-0.7000000000000001,0.8227598270956176,0.0088378227723089,10,False,False
qwen3_8_max,Qwen3.8-Max,research,q1,0.61875,-0.7000000000000001,0.8324536881238438,0.0088378227723089,7,False,False
glm_5_2_max,GLM-5.2 (max),research,q1,0.61875,-0.7000000000000001,0.8267613128082787,0.0088378227723089,9,False,False
kimi_k3_max,Kimi K3 (max reasoning),research,q1,0.61875,-0.65,0.8966508521847129,0.0088378227723089,3,False,True
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,q1,0.61875,-0.65,0.8977780125309575,0.0088378227723089,2,False,True
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,q1,0.61875,-0.65,0.8804826622253672,0.0088378227723089,4,False,False
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,q1,0.61875,-0.65,0.9243574551576971,0.0088378227723089,1,True,True
claude_opus_4_8_max,Claude Opus 4.8 (max),research,q1,0.61875,-0.65,0.8762564284194072,0.0088378227723089,5,False,False
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,q1,0.61875,-0.65,0.8275626577257972,0.0088378227723089,8,False,False
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,q1,0.61875,-0.65,0.8637365004384362,0.0088378227723089,6,False,False
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,q1,0.61875,-0.65,0.8228115728419785,0.0088378227723089,10,False,False
qwen3_8_max,Qwen3.8-Max,research,q1,0.61875,-0.65,0.8326256851334187,0.0088378227723089,7,False,False
glm_5_2_max,GLM-5.2 (max),research,q1,0.61875,-0.65,0.8268758453818637,0.0088378227723089,9,False,False
kimi_k3_max,Kimi K3 (max reasoning),research,q1,0.61875,-0.6,0.8967244370628464,0.0088378227723089,3,False,True
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,q1,0.61875,-0.6,0.8978544097827001,0.0088378227723089,2,False,True
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,q1,0.61875,-0.6,0.8806088945051022,0.0088378227723089,4,False,False
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,q1,0.61875,-0.6,0.9244895867679042,0.0088378227723089,1,True,True
claude_opus_4_8_max,Claude Opus 4.8 (max),research,q1,0.61875,-0.6,0.8764329666403673,0.0088378227723089,5,False,False
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,q1,0.61875,-0.6,0.8279957504012524,0.0088378227723089,8,False,False
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,q1,0.61875,-0.6,0.8641080407322902,0.0088378227723089,6,False,False
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,q1,0.61875,-0.6,0.8228633299725167,0.0088378227723089,10,False,False
qwen3_8_max,Qwen3.8-Max,research,q1,0.61875,-0.6,0.8327980594997111,0.0088378227723089,7,False,False
glm_5_2_max,GLM-5.2 (max),research,q1,0.61875,-0.6,0.8269904444946157,0.0088378227723089,9,False,False
kimi_k3_max,Kimi K3 (max reasoning),research,q1,0.61875,-0.55,0.8967981169029867,0.0088378227723089,3,False,True
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,q1,0.61875,-0.55,0.8979308836412875,0.0088378227723089,2,False,True
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,q1,0.61875,-0.55,0.8807353869834896,0.0088378227723089,4,False,False
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,q1,0.61875,-0.55,0.9246216126908964,0.0088378227723089,1,True,True
claude_opus_4_8_max,Claude Opus 4.8 (max),research,q1,0.61875,-0.55,0.8766098905563865,0.0088378227723089,5,False,False
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,q1,0.61875,-0.55,0.828429034298967,0.0088378227723089,8,False,False
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,q1,0.61875,-0.55,0.8644794212136964,0.0088378227723089,6,False,False
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,q1,0.61875,-0.55,0.8229150982350047,0.0088378227723089,10,False,False
qwen3_8_max,Qwen3.8-Max,research,q1,0.61875,-0.55,0.8329708091651641,0.0088378227723089,7,False,False
glm_5_2_max,GLM-5.2 (max),research,q1,0.61875,-0.55,0.8271051089610674,0.0088378227723089,9,False,False
kimi_k3_max,Kimi K3 (max reasoning),research,q1,0.61875,-0.5,0.8968718913240059,0.0088378227723089,3,False,True
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,q1,0.61875,-0.5,0.8980074336915608,0.0088378227723089,2,False,True
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,q1,0.61875,-0.5,0.8808621386226128,0.0088378227723089,4,False,False
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,q1,0.61875,-0.5,0.9247535314857968,0.0088378227723089,1,True,True
claude_opus_4_8_max,Claude Opus 4.8 (max),research,q1,0.61875,-0.5,0.8767871981454514,0.0088378227723089,5,False,False
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,q1,0.61875,-0.5,0.8288624936179848,0.0088378227723089,8,False,False
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,q1,0.61875,-0.5,0.8648506274631238,0.0088378227723089,6,False,False
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,q1,0.61875,-0.5,0.8229668773769624,0.0088378227723089,10,False,False
qwen3_8_max,Qwen3.8-Max,research,q1,0.61875,-0.5,0.8331439320405423,0.0088378227723089,7,False,False
glm_5_2_max,GLM-5.2 (max),research,q1,0.61875,-0.5,0.8272198375922676,0.0088378227723089,9,False,False
kimi_k3_max,Kimi K3 (max reasoning),research,q1,0.61875,-0.44999999999999996,0.896945759941506,0.0088378227723089,3,False,True
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,q1,0.61875,-0.44999999999999996,0.898084059515638,0.0088378227723089,2,False,True
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,q1,0.61875,-0.44999999999999996,0.8809891483691027,0.0088378227723089,4,False,False
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,q1,0.61875,-0.44999999999999996,0.9248853417187602,0.0088378227723089,1,True,True
claude_opus_4_8_max,Claude Opus 4.8 (max),research,q1,0.61875,-0.44999999999999996,0.8769648873538097,0.0088378227723089,5,False,False
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,q1,0.61875,-0.44999999999999996,0.8292961125372393,0.0088378227723089,8,False,False
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,q1,0.61875,-0.44999999999999996,0.8652216451045419,0.0088378227723089,6,False,False
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,q1,0.61875,-0.44999999999999996,0.8230186671456626,0.0088378227723089,10,False,False
qwen3_8_max,Qwen3.8-Max,research,q1,0.61875,-0.44999999999999996,0.8333174260049719,0.0088378227723089,7,False,False
glm_5_2_max,GLM-5.2 (max),research,q1,0.61875,-0.44999999999999996,0.827334629195853,0.0088378227723089,9,False,False
kimi_k3_max,Kimi K3 (max reasoning),research,q1,0.61875,-0.39999999999999997,0.8970197223678271,0.0088378227723089,3,False,True
