model_id,model,scene,ces_utility,ces_rank,linear_utility,linear_rank,pri,sensitivity_type,sensitivity_value
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,0.36076987939580185,8,0.5439822917052132,6,0.33679848609611557,score_floor_delta,0.15
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,0.357210866042222,9,0.5406534007345519,7,0.33929784672231417,score_floor_delta,0.15
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,0.26900516504046595,10,0.33554334894577886,10,0.19829981465692814,score_floor_delta,0.15
gpt_5_6_sol_max,GPT-5.6 Sol (max),dialogue,0.7745157617901646,1,0.7886881634172336,1,0.017969588342321163,score_floor_delta,0.15
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",dialogue,0.7378213993457245,2,0.7613987351985626,2,0.030965819567180395,score_floor_delta,0.15
kimi_k3_max,Kimi K3 (max reasoning),dialogue,0.5853863844166771,3,0.6027267580698176,4,0.028769875272621974,score_floor_delta,0.15
gemini_3_1_pro_high,Gemini-3.1-Pro (High),dialogue,0.5595606129468427,4,0.6200327205441692,3,0.09753051023541705,score_floor_delta,0.15
gpt_5_5_xhigh,GPT-5.5 (xhigh),dialogue,0.4511078165038247,5,0.5170176369747045,6,0.12748079708952845,score_floor_delta,0.15
qwen3_8_max,Qwen3.8-Max,dialogue,0.43737777708945474,6,0.4809927839203895,7,0.09067705023648259,score_floor_delta,0.15
claude_opus_4_8_max,Claude Opus 4.8 (max),dialogue,0.43627827543262737,7,0.5387298463992554,5,0.19017244292550411,score_floor_delta,0.15
glm_5_2_max,GLM-5.2 (max),dialogue,0.2578616989066381,8,0.28554462951213566,9,0.09694782441818262,score_floor_delta,0.15
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,dialogue,0.23868290616326046,9,0.3117577218486742,8,0.23439616908954675,score_floor_delta,0.15
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,dialogue,0.22113836990170752,10,0.24631669730546574,10,0.1022193285278331,score_floor_delta,0.15
kimi_k3_max,Kimi K3 (max reasoning),coding,0.904389535497708,1,0.9067960221127902,1,0.0026538345519814396,score_floor_delta,0.15
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",coding,0.802554190275044,2,0.8453248782214373,2,0.05059674575813119,score_floor_delta,0.15
gpt_5_6_sol_max,GPT-5.6 Sol (max),coding,0.7978124775659053,3,0.798440760020291,3,0.0007868867495813385,score_floor_delta,0.15
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,coding,0.7204775072581204,4,0.7758863470466708,4,0.07141360329313469,score_floor_delta,0.15
gemini_3_1_pro_high,Gemini-3.1-Pro (High),coding,0.6996881829293016,5,0.7264476670759054,5,0.036836079678410925,score_floor_delta,0.15
qwen3_8_max,Qwen3.8-Max,coding,0.6774962966058788,6,0.677495327697397,7,-1.4301330832552535e-06,score_floor_delta,0.15
claude_opus_4_8_max,Claude Opus 4.8 (max),coding,0.6525746350767039,7,0.6963026309716809,6,0.06280027383201923,score_floor_delta,0.15
gpt_5_5_xhigh,GPT-5.5 (xhigh),coding,0.5870307827289623,8,0.6277938937494469,8,0.06493072236977393,score_floor_delta,0.15
glm_5_2_max,GLM-5.2 (max),coding,0.36973699998169135,9,0.37054250285264917,9,0.002173847439245418,score_floor_delta,0.15
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,coding,0.150001,10,0.15,10,-6.6666666666733345e-06,score_floor_delta,0.15
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,0.7107539263958562,1,0.7192404335983608,2,0.01179926323113752,score_floor_delta,0.2
kimi_k3_max,Kimi K3 (max reasoning),research,0.7031314872281341,2,0.7167571810695853,3,0.019010195086037584,score_floor_delta,0.2
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,0.6950945055316637,3,0.7273355394225978,1,0.044327593171823935,score_floor_delta,0.2
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,0.6603800140725754,4,0.6925871986456621,5,0.046502714222941284,score_floor_delta,0.2
claude_opus_4_8_max,Claude Opus 4.8 (max),research,0.6581943779953724,5,0.7018323674646878,4,0.0621772256343122,score_floor_delta,0.2
qwen3_8_max,Qwen3.8-Max,research,0.4698315188135134,6,0.5179210897023973,8,0.09285115405614508,score_floor_delta,0.2
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,0.42331345604076115,7,0.570806862781377,6,0.25839459256310116,score_floor_delta,0.2
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,0.4190957352218858,8,0.5676737889266371,7,0.2617313968039357,score_floor_delta,0.2
glm_5_2_max,GLM-5.2 (max),research,0.40979225728746826,9,0.44136511399119366,9,0.07153455427914801,score_floor_delta,0.2
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,0.3225426457831385,10,0.3746290343019095,10,0.13903457487172535,score_floor_delta,0.2
gpt_5_6_sol_max,GPT-5.6 Sol (max),dialogue,0.7887495849078774,1,0.8011182714515139,1,0.0154392765517958,score_floor_delta,0.2
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",dialogue,0.7549064402204925,2,0.7754341037162943,2,0.026472479605194423,score_floor_delta,0.2
kimi_k3_max,Kimi K3 (max reasoning),dialogue,0.6112604596680964,3,0.6260957723010048,4,0.0236949573679218,score_floor_delta,0.2
gemini_3_1_pro_high,Gemini-3.1-Pro (High),dialogue,0.5939403736298424,4,0.6423837369827475,3,0.07541187698873228,score_floor_delta,0.2
gpt_5_5_xhigh,GPT-5.5 (xhigh),dialogue,0.49137281086244383,5,0.5454283642114867,6,0.0991066048191126,score_floor_delta,0.2
claude_opus_4_8_max,Claude Opus 4.8 (max),dialogue,0.4840022136029793,6,0.565863384846358,5,0.14466596255491151,score_floor_delta,0.2
qwen3_8_max,Qwen3.8-Max,dialogue,0.47616535819155814,7,0.5115226201603666,7,0.06912160005304108,score_floor_delta,0.2
glm_5_2_max,GLM-5.2 (max),dialogue,0.3060918715625487,8,0.32757141601142187,9,0.06557209633982296,score_floor_delta,0.2
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,dialogue,0.29300500122095574,9,0.35224256173992863,8,0.16817263713494615,score_floor_delta,0.2
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,dialogue,0.2712449968296698,10,0.29065100922867365,10,0.0667674007067903,score_floor_delta,0.2
kimi_k3_max,Kimi K3 (max reasoning),coding,0.9101643494668284,1,0.9122786090473319,1,0.002317559087252249,score_floor_delta,0.2
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",coding,0.8173989616411756,2,0.854423414796647,2,0.04333267618173028,score_floor_delta,0.2
gpt_5_6_sol_max,GPT-5.6 Sol (max),coding,0.8097482646835107,3,0.8102971859014502,3,0.0006774319687767503,score_floor_delta,0.2
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,coding,0.7416075363262303,4,0.789069503102749,4,0.06014928544303204,score_floor_delta,0.2
gemini_3_1_pro_high,Gemini-3.1-Pro (High),coding,0.7191811297226435,5,0.7425389807773227,5,0.03145673380032818,score_floor_delta,0.2
qwen3_8_max,Qwen3.8-Max,coding,0.6964671639832253,6,0.6964661907740206,7,-1.3973531200232883e-06,score_floor_delta,0.2
claude_opus_4_8_max,Claude Opus 4.8 (max),coding,0.6760574564257911,7,0.7141671820909938,6,0.053362471170436826,score_floor_delta,0.2
gpt_5_5_xhigh,GPT-5.5 (xhigh),coding,0.6144429151058566,8,0.649688370587715,8,0.05424978663228189,score_floor_delta,0.2
glm_5_2_max,GLM-5.2 (max),coding,0.4069184107733071,9,0.4075694144495522,9,0.0015972829490267803,score_floor_delta,0.2
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,coding,0.200001,10,0.2,10,-5.0000000000050004e-06,score_floor_delta,0.2
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,0.7294774089766707,1,0.7367879064984632,2,0.009922119319975182,score_floor_delta,0.25
kimi_k3_max,Kimi K3 (max reasoning),research,0.722831165958481,2,0.7344598572527361,3,0.015832984171187423,score_floor_delta,0.25
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,0.7164078551921041,3,0.7443770682086852,1,0.03757398529738147,score_floor_delta,0.25
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,0.684311718632254,4,0.7118004987303082,5,0.038618658103061046,score_floor_delta,0.25
claude_opus_4_8_max,Claude Opus 4.8 (max),research,0.6827310041020964,5,0.7204678444981447,4,0.052378243781767385,score_floor_delta,0.25
qwen3_8_max,Qwen3.8-Max,research,0.5091386403368424,6,0.5480510215959974,8,0.07100138440730745,score_floor_delta,0.25
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,0.47793233376982774,7,0.597631433857541,6,0.2002891636992546,score_floor_delta,0.25
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,0.47341560130811655,8,0.5946941771187222,7,0.2039343589980941,score_floor_delta,0.25
glm_5_2_max,GLM-5.2 (max),research,0.45085574025964426,9,0.476279794366744,9,0.05338050114198791,score_floor_delta,0.25
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,0.3724526159698145,10,0.4137147196580402,10,0.0997356432527498,score_floor_delta,0.25
gpt_5_6_sol_max,GPT-5.6 Sol (max),dialogue,0.8028340210721714,1,0.8135483794857943,1,0.013169909354862137,score_floor_delta,0.25
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",dialogue,0.7717267151511523,2,0.789469472234026,2,0.02247427887574364,score_floor_delta,0.25
kimi_k3_max,Kimi K3 (max reasoning),dialogue,0.636851214946003,3,0.649464786532192,4,0.019421486503585373,score_floor_delta,0.25
gemini_3_1_pro_high,Gemini-3.1-Pro (High),dialogue,0.6254745735751496,4,0.6647347534213258,3,0.059061422084685476,score_floor_delta,0.25
gpt_5_5_xhigh,GPT-5.5 (xhigh),dialogue,0.5293975321166147,5,0.5738390914482686,6,0.07744602972148741,score_floor_delta,0.25
claude_opus_4_8_max,Claude Opus 4.8 (max),dialogue,0.526865333227677,6,0.5929969232934607,5,0.11152096658190687,score_floor_delta,0.25
qwen3_8_max,Qwen3.8-Max,dialogue,0.5133546799421771,7,0.5420524564003437,7,0.05294280307987629,score_floor_delta,0.25
glm_5_2_max,GLM-5.2 (max),dialogue,0.35270825045292575,8,0.36959820251070796,9,0.045698144479728295,score_floor_delta,0.25
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,dialogue,0.3443995824605136,9,0.3927274016311831,8,0.12305690657168593,score_floor_delta,0.25
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,dialogue,0.31979307954944924,10,0.33498532115188157,10,0.045351962140287916,score_floor_delta,0.25
kimi_k3_max,Kimi K3 (max reasoning),coding,0.9159180491481212,1,0.9177611959818737,1,0.002008307653256699,score_floor_delta,0.25
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",coding,0.8316991099716368,2,0.8635219513718565,2,0.03685238267500155,score_floor_delta,0.25
gpt_5_6_sol_max,GPT-5.6 Sol (max),coding,0.8216777028167607,3,0.8221536117826097,3,0.0005788565044641251,score_floor_delta,0.25
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,coding,0.7618573505128198,4,0.8022526591588272,4,0.050352352447622185,score_floor_delta,0.25
gemini_3_1_pro_high,Gemini-3.1-Pro (High),coding,0.7383941420186941,5,0.75863029447874,5,0.026674590518363413,score_floor_delta,0.25
qwen3_8_max,Qwen3.8-Max,coding,0.7154380309286548,6,0.7154370538506443,7,-1.3657078638032656e-06,score_floor_delta,0.25
claude_opus_4_8_max,Claude Opus 4.8 (max),coding,0.6990624134559191,7,0.7320317332103066,6,0.04503810184539586,score_floor_delta,0.25
gpt_5_5_xhigh,GPT-5.5 (xhigh),coding,0.6413213536111885,8,0.6715828474259826,8,0.045059956386288395,score_floor_delta,0.25
glm_5_2_max,GLM-5.2 (max),coding,0.44407030272783365,9,0.44459632604645516,9,0.0011831481454179658,score_floor_delta,0.25
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,coding,0.250001,10,0.25,10,-3.999999999892978e-06,score_floor_delta,0.25
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,0.7480909644413685,1,0.7543353793985655,2,0.008278035377547545,score_floor_delta,0.3
kimi_k3_max,Kimi K3 (max reasoning),research,0.7423162635908551,2,0.752162533435887,3,0.013090614604338273,score_floor_delta,0.3
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,0.7373632623036852,3,0.7614185969947729,1,0.031592785868418724,score_floor_delta,0.3
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,0.7077292714951985,4,0.7310137988149543,5,0.03185237728412563,score_floor_delta,0.3
claude_opus_4_8_max,Claude Opus 4.8 (max),research,0.7067439537992173,5,0.7391033215316019,4,0.04378192708609141,score_floor_delta,0.3
qwen3_8_max,Qwen3.8-Max,research,0.5467343253833054,6,0.5781809534895975,8,0.05438890353702728,score_floor_delta,0.3
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,0.5270962643111295,7,0.6244560049337048,6,0.15591128895127113,score_floor_delta,0.3
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,0.5225321070257513,8,0.6217145653108074,7,0.15953053671096293,score_floor_delta,0.3
glm_5_2_max,GLM-5.2 (max),research,0.49072696612436906,9,0.5111944747422944,9,0.040038595151568324,score_floor_delta,0.3
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,0.4199628704126662,10,0.45280040501417074,10,0.072520992114565,score_floor_delta,0.3
gpt_5_6_sol_max,GPT-5.6 Sol (max),dialogue,0.8167762661687297,1,0.8259784875200746,1,0.011140993973067987,score_floor_delta,0.3
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",dialogue,0.7882975104203633,2,0.8035048407517575,2,0.018926246066129807,score_floor_delta,0.3
kimi_k3_max,Kimi K3 (max reasoning),dialogue,0.6621889640190995,3,0.6728338007633791,4,0.015820900692269286,score_floor_delta,0.3
gemini_3_1_pro_high,Gemini-3.1-Pro (High),dialogue,0.6551444878842215,4,0.687085769859904,3,0.04648805633421175,score_floor_delta,0.3
claude_opus_4_8_max,Claude Opus 4.8 (max),dialogue,0.5665024869925877,5,0.6201304617405633,5,0.08647853646385034,score_floor_delta,0.3
gpt_5_5_xhigh,GPT-5.5 (xhigh),dialogue,0.5657596557973774,6,0.6022498186850508,6,0.06058974491241161,score_floor_delta,0.3
qwen3_8_max,Qwen3.8-Max,dialogue,0.5493298838835178,7,0.5725822926403208,7,0.04060972379984074,score_floor_delta,0.3
glm_5_2_max,GLM-5.2 (max),dialogue,0.39826907279203333,8,0.41162498900999406,9,0.03244680613313409,score_floor_delta,0.3
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,dialogue,0.39374246584067996,9,0.43321224152243754,8,0.09110955762249232,score_floor_delta,0.3
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,dialogue,0.36734187223770937,10,0.3793196330750894,10,0.031576959885461456,score_floor_delta,0.3
kimi_k3_max,Kimi K3 (max reasoning),coding,0.9216511461736089,1,0.9232437829164153,1,0.0017250446439784966,score_floor_delta,0.3
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",coding,0.8454931520354436,2,0.872620487947066,2,0.031087209487187732,score_floor_delta,0.3
gpt_5_6_sol_max,GPT-5.6 Sol (max),coding,0.8336010421843406,3,0.834010037663769,3,0.000490396351312615,score_floor_delta,0.3
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,coding,0.7813158222277046,4,0.8154358152149055,4,0.041842647024534614,score_floor_delta,0.3
gemini_3_1_pro_high,Gemini-3.1-Pro (High),coding,0.7573401523032296,5,0.7747216081801573,5,0.02243574426400377,score_floor_delta,0.3
qwen3_8_max,Qwen3.8-Max,coding,0.7344088974756507,6,0.7344079169272679,7,-1.3351549734451168e-06,score_floor_delta,0.3
claude_opus_4_8_max,Claude Opus 4.8 (max),coding,0.7216149629882418,7,0.7498962843296195,6,0.0377136437829669,score_floor_delta,0.3
gpt_5_5_xhigh,GPT-5.5 (xhigh),coding,0.667706265803964,8,0.6934773242642505,8,0.03716207806452571,score_floor_delta,0.3
glm_5_2_max,GLM-5.2 (max),coding,0.48119926843004335,9,0.481623237643358,9,0.0008802922703422731,score_floor_delta,0.3
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,coding,0.30000099999999985,10,0.3,10,-3.333333332874074e-06,score_floor_delta,0.3
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",dialogue,0.932418708623976,1,0.9343069685862607,1,0.0020210273772675647,structural_c5_anchor,0.2
gpt_5_6_sol_max,GPT-5.6 Sol (max),dialogue,0.932145427852394,2,0.933962650860898,2,0.0019457127186285287,structural_c5_anchor,0.2
kimi_k3_max,Kimi K3 (max reasoning),dialogue,0.8687069582921643,3,0.8709152336318428,3,0.0025355801051609363,structural_c5_anchor,0.2
gemini_3_1_pro_high,Gemini-3.1-Pro (High),dialogue,0.8661586954130576,4,0.8705614183801403,4,0.005057337568755286,structural_c5_anchor,0.2
qwen3_8_max,Qwen3.8-Max,dialogue,0.8383797086565321,5,0.8414881360354695,7,0.0036939645918030242,structural_c5_anchor,0.2
claude_opus_4_8_max,Claude Opus 4.8 (max),dialogue,0.8383394649502275,6,0.8444511285915771,5,0.007237439129891394,structural_c5_anchor,0.2
gpt_5_5_xhigh,GPT-5.5 (xhigh),dialogue,0.837174749199171,7,0.8419768212943635,6,0.005703330511890189,structural_c5_anchor,0.2
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,dialogue,0.560960741546744,8,0.6610997167624496,8,0.15147332947911113,structural_c5_anchor,0.2
glm_5_2_max,GLM-5.2 (max),dialogue,0.5556895830535272,9,0.6506089416664739,9,0.1458931049576718,structural_c5_anchor,0.2
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,dialogue,0.5546073482242916,10,0.6479188142801339,10,0.1440172194405489,structural_c5_anchor,0.2
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",dialogue,0.932418708623976,1,0.9343069685862607,1,0.0020210273772675647,structural_c5_anchor,0.275
gpt_5_6_sol_max,GPT-5.6 Sol (max),dialogue,0.932145427852394,2,0.933962650860898,2,0.0019457127186285287,structural_c5_anchor,0.275
kimi_k3_max,Kimi K3 (max reasoning),dialogue,0.8687069582921643,3,0.8709152336318428,3,0.0025355801051609363,structural_c5_anchor,0.275
gemini_3_1_pro_high,Gemini-3.1-Pro (High),dialogue,0.8661586954130576,4,0.8705614183801403,4,0.005057337568755286,structural_c5_anchor,0.275
qwen3_8_max,Qwen3.8-Max,dialogue,0.8383797086565321,5,0.8414881360354695,7,0.0036939645918030242,structural_c5_anchor,0.275
claude_opus_4_8_max,Claude Opus 4.8 (max),dialogue,0.8383394649502275,6,0.8444511285915771,5,0.007237439129891394,structural_c5_anchor,0.275
gpt_5_5_xhigh,GPT-5.5 (xhigh),dialogue,0.837174749199171,7,0.8419768212943635,6,0.005703330511890189,structural_c5_anchor,0.275
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,dialogue,0.6123018162264013,8,0.6817247167624497,8,0.101834213765553,structural_c5_anchor,0.275
glm_5_2_max,GLM-5.2 (max),dialogue,0.6065482230068214,9,0.671233941666474,9,0.09636836674119485,structural_c5_anchor,0.275
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,dialogue,0.6053669382885766,10,0.668543814280134,10,0.0944992304798814,structural_c5_anchor,0.275
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",dialogue,0.932418708623976,1,0.9343069685862607,1,0.0020210273772675647,structural_c5_anchor,0.35
gpt_5_6_sol_max,GPT-5.6 Sol (max),dialogue,0.932145427852394,2,0.933962650860898,2,0.0019457127186285287,structural_c5_anchor,0.35
kimi_k3_max,Kimi K3 (max reasoning),dialogue,0.8687069582921643,3,0.8709152336318428,3,0.0025355801051609363,structural_c5_anchor,0.35
gemini_3_1_pro_high,Gemini-3.1-Pro (High),dialogue,0.8661586954130576,4,0.8705614183801403,4,0.005057337568755286,structural_c5_anchor,0.35
qwen3_8_max,Qwen3.8-Max,dialogue,0.8383797086565321,5,0.8414881360354695,7,0.0036939645918030242,structural_c5_anchor,0.35
claude_opus_4_8_max,Claude Opus 4.8 (max),dialogue,0.8383394649502275,6,0.8444511285915771,5,0.007237439129891394,structural_c5_anchor,0.35
gpt_5_5_xhigh,GPT-5.5 (xhigh),dialogue,0.837174749199171,7,0.8419768212943635,6,0.005703330511890189,structural_c5_anchor,0.35
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,dialogue,0.6542860728359404,8,0.7023497167624497,8,0.06843263801409846,structural_c5_anchor,0.35
glm_5_2_max,GLM-5.2 (max),dialogue,0.6481379677469584,9,0.691858941666474,9,0.06319347960467965,structural_c5_anchor,0.35
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,dialogue,0.6468756848029605,10,0.689168814280134,10,0.061368315862275945,structural_c5_anchor,0.35
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",dialogue,0.932418708623976,1,0.9343069685862607,1,0.0020210273772675647,structural_c5_anchor,0.425
gpt_5_6_sol_max,GPT-5.6 Sol (max),dialogue,0.932145427852394,2,0.933962650860898,2,0.0019457127186285287,structural_c5_anchor,0.425
kimi_k3_max,Kimi K3 (max reasoning),dialogue,0.8687069582921643,3,0.8709152336318428,3,0.0025355801051609363,structural_c5_anchor,0.425
gemini_3_1_pro_high,Gemini-3.1-Pro (High),dialogue,0.8661586954130576,4,0.8705614183801403,4,0.005057337568755286,structural_c5_anchor,0.425
qwen3_8_max,Qwen3.8-Max,dialogue,0.8383797086565321,5,0.8414881360354695,7,0.0036939645918030242,structural_c5_anchor,0.425
claude_opus_4_8_max,Claude Opus 4.8 (max),dialogue,0.8383394649502275,6,0.8444511285915771,5,0.007237439129891394,structural_c5_anchor,0.425
gpt_5_5_xhigh,GPT-5.5 (xhigh),dialogue,0.837174749199171,7,0.8419768212943635,6,0.005703330511890189,structural_c5_anchor,0.425
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,dialogue,0.6901696530615264,8,0.7229747167624497,8,0.04537511885315646,structural_c5_anchor,0.425
glm_5_2_max,GLM-5.2 (max),dialogue,0.6836843620971985,9,0.712483941666474,9,0.04042137357077033,structural_c5_anchor,0.425
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,dialogue,0.6823528506717017,10,0.709793814280134,10,0.038660471613524344,structural_c5_anchor,0.425
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",dialogue,0.932418708623976,1,0.9343069685862607,1,0.0020210273772675647,structural_c5_anchor,0.5
