model_id,model,scene,scene_label,prior,alpha,rho,ces_utility,linear_utility,imbalance_penalty,pri,ces_rank,linear_rank,rank_ces_minus_linear,inner_share_C1,marginal_utility_C1,elasticity_C1,inner_share_C2,marginal_utility_C2,elasticity_C2,inner_share_C3,marginal_utility_C3,elasticity_C3,inner_share_C5,marginal_utility_C5,elasticity_C5,inner_share_C4,marginal_utility_C4,elasticity_C4
gpt_5_5_xhigh,GPT-5.5 (xhigh),dialogue,大众日常通用对话,equal,0.625,0.0,0.8590823121447222,0.8638415597429939,0.004759247598271732,0.00550939873706433,4,5,-1,0.3124999999722691,0.2723658442468427,0.3124996829294894,0.31250000002773093,0.3251861065244195,0.3124996215004327,0.18750000262464797,0.18853620684972955,0.18749978316231683,0.187499997375352,0.21943209068783187,0.1874997419491983,,,
gemini_3_1_pro_high,Gemini-3.1-Pro (High),dialogue,大众日常通用对话,equal,0.625,0.0,0.858751796013592,0.865538901656439,0.006787105642847013,0.007841479602890269,5,4,1,0.3124999999722691,0.2697815010789964,0.3124996858168841,0.31250000002773093,0.320586248946132,0.31249962671119125,0.18750000262464797,0.2336644328651862,0.1874997305268964,0.187499997375352,0.18421072372049402,0.18749978286549646,,,
claude_opus_4_8_max,Claude Opus 4.8 (max),dialogue,大众日常通用对话,equal,0.625,0.0,0.8564886784905414,0.8626042226539798,0.006115544163438402,0.007089629290965756,6,6,0,0.3124999999722691,0.26765244435209873,0.3124996874725817,0.31250000002773093,0.3153835107735682,0.3124996317992666,0.18750000262464797,0.200185479359215,0.18749976889653877,0.187499997375352,0.2238994616036299,0.1874997359597989,,,
qwen3_8_max,Qwen3.8-Max,dialogue,大众日常通用对话,equal,0.625,0.0,0.8471174057126741,0.8504440164802247,0.0033266107675505863,0.003911616406355114,7,7,0,0.3124999999722691,0.27824429191092387,0.31249967151214064,0.31250000002773093,0.3458818533144371,0.31249959172322556,0.18750000262464797,0.1953458928251085,0.18749977202391718,0.187499997375352,0.18440594997241913,0.18749977968893836,,,
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,dialogue,大众日常通用对话,equal,0.625,0.0,0.7284744113821128,0.772083612361164,0.04360920097905119,0.056482484903010416,8,8,0,0.3124999999722691,0.2471438964670467,0.31249966070997987,0.31250000002773093,0.3078185782580564,0.3124995774753757,0.18750000262464797,0.13658881745731757,0.18749981512483285,0.187499997375352,0.39025302848322513,0.18749946166260442,,,
glm_5_2_max,GLM-5.2 (max),dialogue,大众日常通用对话,equal,0.625,0.0,0.708196903151598,0.7447572700928088,0.03656036694121079,0.04909031225254743,9,9,0,0.3124999999722691,0.24281873732392237,0.31249965710330674,0.31250000002773093,0.2905286196585517,0.312499589790665,0.18750000262464797,0.15933019549179048,0.18749977764456854,0.187499997375352,0.3793901088344235,0.1874994616626044,,,
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,dialogue,大众日常通用对话,equal,0.625,0.0,0.7035392596244477,0.7381211593874804,0.03458189976303261,0.04685125107608339,10,10,0,0.3124999999722691,0.25067598621365617,0.31249964366523614,0.31250000002773093,0.2827457911203216,0.3124995981371651,0.18750000262464797,0.15913565706030036,0.1874997764316461,0.187499997375352,0.37689494982311783,0.1874994616626044,,,
kimi_k3_max,Kimi K3 (max reasoning),coding,计算机代码开发,equal,0.65,-0.4,0.9813020054113565,0.9813195098757044,1.7504464347894988e-05,1.7837680971116263e-05,1,1,0,0.35099120173089754,0.35348150446512944,0.3509908415140606,,,,,,,,,,0.6490087982691025,0.6465374017527838,0.6490081394124015
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",coding,计算机代码开发,equal,0.65,-0.4,0.9762038301568621,0.9769233024074161,0.0007194722505540208,0.0007364674880628163,2,2,0,0.3562319991387045,0.3723018013471599,0.3562316177615885,,,,,,,,,,0.6437680008612955,0.6284481597250631,0.6437673570939385
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,coding,计算机代码开发,equal,0.65,-0.4,0.9610626303156368,0.9617181231868319,0.0006554928711951513,0.0006815852331274093,3,3,0,0.35599422041617446,0.37143275916329677,0.355993833934849,,,,,,,,,,0.6440057795838255,0.6292609558200801,0.6440051248284162
gpt_5_6_sol_max,GPT-5.6 Sol (max),coding,计算机代码开发,equal,0.65,-0.4,0.9512731717446156,0.9514872667357596,0.00021409499114399821,0.00022501088414823232,4,4,0,0.34658280953287385,0.3381850865622703,0.34658245402501703,,,,,,,,,,0.6534171904671262,0.6620389698457548,0.6534164945166993
gemini_3_1_pro_high,Gemini-3.1-Pro (High),coding,计算机代码开发,equal,0.65,-0.4,0.9259813234950288,0.9277563052621833,0.0017749817671545154,0.0019131982796418794,5,5,0,0.3401157393308408,0.3166091370578683,0.34011539741342944,,,,,,,,,,0.6598842606691592,0.6852575084374007,0.6598835206353257
qwen3_8_max,Qwen3.8-Max,coding,计算机代码开发,equal,0.65,-0.4,0.9257001776879481,0.9259601657287215,0.00025998804077342896,0.0002807767011973144,6,6,0,0.34618579049171083,0.3368311296090687,0.34618542662537727,,,,,,,,,,0.6538142095082892,0.6634479413269005,0.6538134928097755
claude_opus_4_8_max,Claude Opus 4.8 (max),coding,计算机代码开发,equal,0.65,-0.4,0.9163907203396128,0.9189981161354419,0.002607395795829137,0.002837215604743263,7,7,0,0.33798711471702036,0.3097279457930919,0.3379867767302437,,,,,,,,,,0.6620128852829796,0.693025408139829,0.6620121290276041
gpt_5_5_xhigh,GPT-5.5 (xhigh),coding,计算机代码开发,equal,0.65,-0.4,0.9025140728523974,0.9051305587073886,0.0026164858549911907,0.002890727563908325,8,8,0,0.33787555769385696,0.3093702893759893,0.3378752149066377,,,,,,,,,,0.662124442306143,0.6934342347479538,0.6621236739699411
glm_5_2_max,GLM-5.2 (max),coding,计算机代码开发,equal,0.65,-0.4,0.8587896658995123,0.8599264603151546,0.0011367944156422949,0.0013219670147441107,9,9,0,0.3417700711684364,0.322031970964428,0.3417696961849174,,,,,,,,,,0.6582299288315637,0.6792635281952023,0.6582291378770899
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,coding,计算机代码开发,equal,0.65,-0.4,0.8155773752485842,0.8171867613404145,0.001609386091830256,0.001969422619121256,10,10,0,0.3399725568369008,0.3161428792349301,0.339972169206139,,,,,,,,,,0.6600274431630991,0.6857780576441375,0.6600266023133178
