scene,prior,model_id,model,mean_rank,best_rank,worst_rank,rank_sd,top1_proportion,top3_proportion,mean_utility,utility_sd
coding,q1,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,3.1025641025641026,3,4,0.3046936105113995,0.0,0.8974358974358975,0.9610746970162136,0.004104907035350744
coding,q1,gpt_5_6_sol_max,GPT-5.6 Sol (max),3.8974358974358974,3,4,0.3046936105113995,0.0,0.10256410256410256,0.9512771039406807,0.00231592759754603
coding,q1,gemini_3_1_pro_high,Gemini-3.1-Pro (High),5.452991452991453,5,6,0.4999263134621306,0.0,0.0,0.9260136888199627,0.0065245012985079625
coding,q1,qwen3_8_max,Qwen3.8-Max,5.547008547008547,5,6,0.4999263134621306,0.0,0.0,0.9257049478813698,0.0025155544677100974
coding,q1,claude_opus_4_8_max,Claude Opus 4.8 (max),7.0,7,7,0.0,0.0,0.0,0.9164382110711298,0.007849928650637036
coding,q1,gpt_5_5_xhigh,GPT-5.5 (xhigh),8.0,8,8,0.0,0.0,0.0,0.9025617268119049,0.007802995775255104
coding,q1,glm_5_2_max,GLM-5.2 (max),9.0,9,9,0.0,0.0,0.0,0.8588104167170463,0.00503728138297379
coding,q1,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,10.0,10,10,0.0,0.0,0.0,0.8156067208839521,0.00582994733357889
dialogue,equal,gpt_5_6_sol_max,GPT-5.6 Sol (max),1.4444444444444444,1,2,0.4990412263469521,0.5555555555555556,1.0,0.9246294773433831,0.000638495688114182
dialogue,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",1.5555555555555556,1,2,0.4990412263469521,0.4444444444444444,1.0,0.9235675617486332,0.005452665341096065
dialogue,equal,kimi_k3_max,Kimi K3 (max reasoning),3.0,3,3,0.0,0.0,1.0,0.8842378666810807,0.0033503852256833405
dialogue,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),4.581196581196581,4,5,0.4954850677891356,0.0,0.0,0.858774162606152,0.006883493445002164
dialogue,equal,gpt_5_5_xhigh,GPT-5.5 (xhigh),4.64957264957265,4,6,0.8233262992930411,0.0,0.0,0.859100160735656,0.0055109794968743915
dialogue,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),5.880341880341881,4,7,0.5895994134301039,0.0,0.0,0.8565276642280163,0.008170544994177069
dialogue,equal,qwen3_8_max,Qwen3.8-Max,6.888888888888889,6,7,0.31562138431599934,0.0,0.0,0.8471187457350424,0.0010152922684728042
dialogue,equal,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,8.0,8,8,0.0,0.0,0.0,0.7283613453438709,0.015055731400983789
dialogue,equal,glm_5_2_max,GLM-5.2 (max),9.0,9,9,0.0,0.0,0.0,0.7081540604768464,0.01690431185478771
dialogue,equal,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,10.0,10,10,0.0,0.0,0.0,0.7034902123760638,0.01645517710642422
dialogue,q1,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",1.4444444444444444,1,2,0.4990412263469522,0.5555555555555556,1.0,0.9324245321299374,0.004639657896409382
dialogue,q1,gpt_5_6_sol_max,GPT-5.6 Sol (max),1.5555555555555556,1,2,0.4990412263469522,0.4444444444444444,1.0,0.9321364080816449,0.003843128840733675
dialogue,q1,kimi_k3_max,Kimi K3 (max reasoning),3.2905982905982905,3,4,0.4559913236438083,0.0,0.7094017094017094,0.8687284502562926,0.004565523236372897
dialogue,q1,gemini_3_1_pro_high,Gemini-3.1-Pro (High),3.7094017094017095,3,4,0.4559913236438083,0.0,0.2905982905982906,0.8661353292211111,0.0013248175360117014
dialogue,q1,claude_opus_4_8_max,Claude Opus 4.8 (max),5.811965811965812,5,7,0.880160878041563,0.0,0.0,0.8384040408884413,0.009495639721699317
dialogue,q1,qwen3_8_max,Qwen3.8-Max,5.94017094017094,5,7,0.9763637526168757,0.0,0.0,0.838377020065925,0.0014943171190767513
dialogue,q1,gpt_5_5_xhigh,GPT-5.5 (xhigh),6.247863247863248,6,7,0.43362909039199354,0.0,0.0,0.8372243994160117,0.007602317751530355
dialogue,q1,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,8.0,8,8,0.0,0.0,0.0,0.6547759225981,0.028094172391109163
dialogue,q1,glm_5_2_max,GLM-5.2 (max),9.0,9,9,0.0,0.0,0.0,0.6486114191089136,0.028048582849037856
dialogue,q1,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,10.0,10,10,0.0,0.0,0.0,0.6473367276756317,0.02786035917864459
research,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",1.0,1,1,0.0,1.0,1.0,0.9157064520196878,0.0034781565658066624
research,equal,kimi_k3_max,Kimi K3 (max reasoning),2.0,2,2,0.0,0.0,1.0,0.9020692164714098,0.0023861823647413996
research,equal,gpt_5_6_sol_max,GPT-5.6 Sol (max),3.0,3,3,0.0,0.0,1.0,0.8987600442730248,0.0007035939785532278
research,equal,gpt_5_5_xhigh,GPT-5.5 (xhigh),4.205128205128205,4,5,0.4055320374788542,0.0,0.0,0.886973995844066,0.0028808433881429415
research,equal,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,5.2905982905982905,4,6,0.7884929870878429,0.0,0.0,0.8822883640511202,0.007273984381180339
research,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),5.504273504273504,5,6,0.5021322058350302,0.0,0.0,0.8789563769974595,0.0015470043824497386
research,equal,qwen3_8_max,Qwen3.8-Max,7.0,7,7,0.0,0.0,0.0,0.8409386235766316,0.003615156768299234
research,equal,glm_5_2_max,GLM-5.2 (max),8.0,8,8,0.0,0.0,0.0,0.8350687374165817,0.0034678717374373373
research,equal,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,9.256410256410257,9,10,0.4385290096535148,0.0,0.0,0.8283143187553739,0.0023383808771679417
research,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),9.743589743589743,9,10,0.4385290096535148,0.0,0.0,0.8259002027372394,0.0018779130257360163
research,q1,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",1.0,1,1,0.0,1.0,1.0,0.9183616513122855,0.005537851089961299
research,q1,kimi_k3_max,Kimi K3 (max reasoning),2.3333333333333335,2,3,0.4734320764739993,0.0,1.0,0.901305280910499,0.003845330938261084
research,q1,gpt_5_6_sol_max,GPT-5.6 Sol (max),2.6666666666666665,2,3,0.4734320764739993,0.0,1.0,0.8992427696426754,0.0011126414888182573
research,q1,gpt_5_5_xhigh,GPT-5.5 (xhigh),4.145299145299146,4,5,0.35391790556366826,0.0,0.0,0.8861817517705589,0.004627661901194586
research,q1,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,5.410256410256411,4,6,0.7328951347325118,0.0,0.0,0.8778986245604795,0.011390790870181463
research,q1,claude_opus_4_8_max,Claude Opus 4.8 (max),5.444444444444445,5,6,0.4990412263469504,0.0,0.0,0.8794204143227974,0.0023872555164229127
research,q1,qwen3_8_max,Qwen3.8-Max,7.0,7,7,0.0,0.0,0.0,0.8397798902638166,0.005780053652603488
research,q1,glm_5_2_max,GLM-5.2 (max),8.247863247863247,8,9,0.4336290903919925,0.0,0.0,0.8336134407867081,0.005550160864805496
research,q1,gemini_3_1_pro_high,Gemini-3.1-Pro (High),9.188034188034187,8,10,0.8086986559049535,0.0,0.0,0.8281225556478792,0.0018897811752391339
research,q1,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,9.564102564102564,9,10,0.49800663658185834,0.0,0.0,0.8273019458792357,0.0037555401230871086
