model_id,model,dimension,raw_q1_score,raw_q1_theta,C5_status,z_primary_latent_strength,dimension_theta_max,expected_z_primary,primary_abs_error,primary_is_finite,primary_is_strictly_positive,z_score_floor_delta_0.100,z_score_floor_delta_0.150,z_score_floor_delta_0.200,z_score_floor_delta_0.250,z_score_floor_delta_0.300,structural_note
gpt_5_5_xhigh,GPT-5.5 (xhigh),C5,6.974308690462572,-0.127578827746833,ESTIMABLE,0.7340663406858213,0.1815770442992809,0.7340663406858213,0.0,True,True,0.16276877821416316,0.20928162386893184,0.2557944695237006,0.3023073151784693,0.34882016083323797,observed/estimable ability
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",C1,48.008362427373925,-0.0186861254841852,NOT_APPLICABLE,0.9340665783069031,0.0495214348257841,0.9340665783069031,0.0,True,True,0.5320752618463653,0.5580710806326783,0.5840668994189915,0.6100627182053044,0.6360585369916174,observed/estimable ability
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",C2,100.0,0.1911204717757186,NOT_APPLICABLE,1.0,0.1911204717757186,1.0,0.0,True,True,1.0,1.0,1.0,1.0,1.0,observed/estimable ability
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",C3,51.06282352003342,-0.0016727972353649,NOT_APPLICABLE,0.8334061315850111,0.1805614054720557,0.8334061315850111,0.0,True,True,0.5595654116803008,0.584033999920284,0.6085025881602674,0.6329711764002506,0.6574397646402339,observed/estimable ability
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",C4,100.0,0.1008835733671333,NOT_APPLICABLE,1.0,0.1008835733671333,1.0,0.0,True,True,1.0,1.0,1.0,1.0,1.0,observed/estimable ability
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",C5,61.41143677202628,0.0533341820553998,ESTIMABLE,0.8796397219243846,0.1815770442992809,0.8796397219243846,0.0,True,True,0.6527029309482365,0.6719972125622233,0.6912914941762103,0.7105857757901971,0.7298800574041839,observed/estimable ability
claude_opus_4_8_max,Claude Opus 4.8 (max),C1,100.0,0.0495214348257841,NOT_APPLICABLE,1.0,0.0495214348257841,1.0,0.0,True,True,1.0,1.0,1.0,1.0,1.0,observed/estimable ability
claude_opus_4_8_max,Claude Opus 4.8 (max),C2,45.609972782355385,0.0270201902628933,NOT_APPLICABLE,0.8486569130137485,0.1911204717757186,0.8486569130137485,0.0,True,True,0.5104897550411984,0.5376847686500208,0.5648797822588432,0.5920747958676653,0.6192698094764877,observed/estimable ability
claude_opus_4_8_max,Claude Opus 4.8 (max),C3,40.81890855937248,-0.0398194948942067,NOT_APPLICABLE,0.8022131764677668,0.1805614054720557,0.8022131764677668,0.0,True,True,0.46737017703435235,0.4969607227546661,0.5265512684749799,0.5561418141952936,0.5857323599156073,observed/estimable ability
claude_opus_4_8_max,Claude Opus 4.8 (max),C4,45.03215040211417,-0.0322116662357206,NOT_APPLICABLE,0.8753817171314491,0.1008835733671333,0.8753817171314491,0.0,True,True,0.5052893536190275,0.5327732784179705,0.5602572032169134,0.5877411280158563,0.6152250528147991,observed/estimable ability
claude_opus_4_8_max,Claude Opus 4.8 (max),C5,0.0,-0.1507568171255336,ESTIMABLE,0.7172478214969057,0.1815770442992809,0.7172478214969057,0.0,True,True,0.1,0.15,0.2,0.25,0.3,observed/estimable ability
gemini_3_1_pro_high,Gemini-3.1-Pro (High),C1,95.97204269870556,0.0442371784841705,NOT_APPLICABLE,0.9947296807810123,0.0495214348257841,0.9947296807810123,0.0,True,True,0.9637483842883501,0.9657623629389973,0.9677763415896445,0.9697903202402918,0.9718042988909388,observed/estimable ability
gemini_3_1_pro_high,Gemini-3.1-Pro (High),C2,41.06152407822916,0.0132970547732383,NOT_APPLICABLE,0.8370902263400103,0.1911204717757186,0.8370902263400103,0.0,True,True,0.46955371670406243,0.49902295466494784,0.5284921926258334,0.5579614305867187,0.5874306685476041,observed/estimable ability
gemini_3_1_pro_high,Gemini-3.1-Pro (High),C3,0.0,-0.191822568871094,NOT_APPLICABLE,0.6890895989931662,0.1805614054720557,0.6890895989931662,0.0,True,True,0.1,0.15,0.2,0.25,0.3,observed/estimable ability
gemini_3_1_pro_high,Gemini-3.1-Pro (High),C4,52.65716561941289,-0.0137489969709434,NOT_APPLICABLE,0.8916937184443524,0.1008835733671333,0.8916937184443524,0.0,True,True,0.573914490574716,0.5975859077650096,0.6212573249553032,0.6449287421455967,0.6686001593358902,observed/estimable ability
gemini_3_1_pro_high,Gemini-3.1-Pro (High),C5,59.50518071798478,0.0469990477023594,ESTIMABLE,0.8740847005857025,0.1815770442992809,0.8740847005857025,0.0,True,True,0.635546626461863,0.6557940361028706,0.6760414457438783,0.6962888553848858,0.7165362650258934,observed/estimable ability
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,C1,37.365299588477896,-0.0326487045518814,NOT_APPLICABLE,0.9211152273920967,0.0495214348257841,0.9211152273920967,0.0,True,True,0.43628769629630104,0.46760504650206214,0.4989223967078232,0.5302397469135842,0.5615570971193453,observed/estimable ability
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,C2,0.0,-0.1105897679639476,NOT_APPLICABLE,0.7395523267204718,0.1911204717757186,0.7395523267204718,0.0,True,True,0.1,0.15,0.2,0.25,0.3,observed/estimable ability
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,C3,100.0,0.1805614054720557,NOT_APPLICABLE,1.0,0.1805614054720557,1.0,0.0,True,True,1.0,1.0,1.0,1.0,1.0,observed/estimable ability
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,C4,93.16282004904058,0.0843285123553273,NOT_APPLICABLE,0.9835812209224587,0.1008835733671333,0.9835812209224587,0.0,True,True,0.9384653804413652,0.9418839704168448,0.9453025603923246,0.9487211503678042,0.9521397403432841,observed/estimable ability
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,C5,,,STRUCTURAL_CAPABILITY_ABSENCE,0.35,0.1815770442992809,0.35,0.0,True,True,0.1,0.15,0.2,0.25,0.3,"availability anchor, not benchmark zero and not latent imputation"
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,C1,0.0,-0.081668047741853,NOT_APPLICABLE,0.8770515726614375,0.0495214348257841,0.8770515726614375,0.0,True,True,0.1,0.15,0.2,0.25,0.3,observed/estimable ability
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,C2,16.61647141654705,-0.0604561722168104,NOT_APPLICABLE,0.7775738589608205,0.1911204717757186,0.7775738589608205,0.0,True,True,0.24954824274892345,0.2912400070406499,0.3329317713323764,0.3746235356241029,0.41631529991582933,observed/estimable ability
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,C3,49.61894570159547,-0.0070495668403233,NOT_APPLICABLE,0.8289371240066239,0.1805614054720557,0.8289371240066239,0.0,True,True,0.5465705113143593,0.5717610384635615,0.5969515656127637,0.6221420927619661,0.6473326199111682,observed/estimable ability
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,C4,0.0,-0.1412493108124455,NOT_APPLICABLE,0.7849518629367868,0.1008835733671333,0.7849518629367868,0.0,True,True,0.1,0.15,0.2,0.25,0.3,observed/estimable ability
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,C5,,,STRUCTURAL_CAPABILITY_ABSENCE,0.35,0.1815770442992809,0.35,0.0,True,True,0.1,0.15,0.2,0.25,0.3,"availability anchor, not benchmark zero and not latent imputation"
qwen3_8_max,Qwen3.8-Max,C1,62.030463835309725,-0.0002906032020048,NOT_APPLICABLE,0.9514082362637477,0.0495214348257841,0.9514082362637477,0.0,True,True,0.6582741745177875,0.6772589426001326,0.6962437106824778,0.7152284787648229,0.734213246847168,observed/estimable ability
qwen3_8_max,Qwen3.8-Max,C2,11.368579925920464,-0.0762895982144574,NOT_APPLICABLE,0.7653591562844766,0.1911204717757186,0.7653591562844766,0.0,True,True,0.20231721933328417,0.24663292937032394,0.2909486394073637,0.3352643494444035,0.37958005948144324,observed/estimable ability
qwen3_8_max,Qwen3.8-Max,C3,44.43634483658853,-0.0263487419157786,NOT_APPLICABLE,0.8130927052089165,0.1805614054720557,0.8130927052089165,0.0,True,True,0.4999271035292968,0.5277089311110025,0.5554907586927083,0.5832725862744139,0.6110544138561197,observed/estimable ability
qwen3_8_max,Qwen3.8-Max,C4,62.07324846829872,0.0090504360078024,NOT_APPLICABLE,0.9122573585175537,0.1008835733671333,0.9122573585175537,0.0,True,True,0.6586592362146885,0.6776226119805392,0.6965859877463898,0.7155493635122404,0.734512739278091,observed/estimable ability
qwen3_8_max,Qwen3.8-Max,C5,55.081950858103056,0.032299157109319,ESTIMABLE,0.8613297291413192,0.1815770442992809,0.8613297291413192,0.0,True,True,0.5957375577229275,0.618196582293876,0.6406556068648245,0.663114631435773,0.6855736560067214,observed/estimable ability
glm_5_2_max,GLM-5.2 (max),C1,29.304570389924805,-0.0432235334786416,NOT_APPLICABLE,0.9114259131545803,0.0495214348257841,0.9114259131545803,0.0,True,True,0.36374113350932324,0.39908884831436087,0.4344365631193985,0.469784277924436,0.5051319927294736,observed/estimable ability
glm_5_2_max,GLM-5.2 (max),C2,9.803510167641388,-0.0810115739342542,NOT_APPLICABLE,0.7617536681446158,0.1911204717757186,0.7617536681446158,0.0,True,True,0.1882315915087725,0.23332983642495178,0.2784280813411311,0.3235263262573104,0.3686245711734897,observed/estimable ability
glm_5_2_max,GLM-5.2 (max),C3,51.06282352003342,-0.0016727972353649,NOT_APPLICABLE,0.8334061315850111,0.1805614054720557,0.8334061315850111,0.0,True,True,0.5595654116803008,0.584033999920284,0.6085025881602674,0.6329711764002506,0.6574397646402339,observed/estimable ability
glm_5_2_max,GLM-5.2 (max),C4,24.137811030338977,-0.0828037327868692,NOT_APPLICABLE,0.8321959857093101,0.1008835733671333,0.8321959857093101,0.0,True,True,0.31724029927305075,0.3551713937578813,0.3931024882427119,0.43103358272754233,0.4689646772123728,observed/estimable ability
glm_5_2_max,GLM-5.2 (max),C5,,,STRUCTURAL_CAPABILITY_ABSENCE,0.35,0.1815770442992809,0.35,0.0,True,True,0.1,0.15,0.2,0.25,0.3,"availability anchor, not benchmark zero and not latent imputation"
